content_calendar_key,post_id,content,post_name,content_type,platform,account,published_in,link,status,publish_date
content-calendar--1,1,[ENTREVISTA] SAF não é solução mágica. Gestão vem antes do modelo.,Video Completo sobre SAF,Video Longo,Youtube,Lucas Oaigen,Youtube Lucas Oaigen (Video Longo),https://youtu.be/Nfsb2hI7JiM,Postado,5/1/2026
content-calendar--2,2,[ENTREVISTA] SAF não é solução mágica. Gestão vem antes do modelo.,Shorts 2 - O que muda quando vira SAF,Video Curto,Youtube,Lucas Oaigen,Youtube Lucas Oaigen (Video Curto),https://youtube.com/shorts/h4sEr4d5Gow?feature=share,Postado,5/1/2026
content-calendar--3,3,[ENTREVISTA] SAF não é solução mágica. Gestão vem antes do modelo.,Shorts 2 - O que muda quando vira SAF,Video Curto,Instagram,Brain Sports,Instagram Brain Sports (Video Curto),,Postado,5/1/2026
content-calendar--4,4,[ENTREVISTA] SAF não é solução mágica. Gestão vem antes do modelo.,Post sobre video completo,Post,Instagram,Brain Sports,Instagram Brain Sports (Post),https://www.instagram.com/p/DTIsiRFkbYJ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Postado,5/1/2026
content-calendar--5,5,[ENTREVISTA] SAF não é solução mágica. Gestão vem antes do modelo.,Compartilhamento do Post e Shorts 2,Story,Instagram,Lucas Oaigen,Instagram Lucas Oaigen (Story),,Postado,5/1/2026
content-calendar--6,6,[ENTREVISTA] SAF não é solução mágica. Gestão vem antes do modelo.,Post sobre video completo,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),"Designed FCWC fan experience concepts for top clubs including PSG, Juventus, Atlético Madrid, Benfica, Inter Milan, Sevilla, FC Porto, Flamengo, Fluminense, Al Ahly, Al Hilal, Club América, among others.",Postado,5/1/2026
content-calendar--7,7,[ENTREVISTA] SAF não é solução mágica. Gestão vem antes do modelo.,Podcast sobre a entrevista completa,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://open.spotify.com/episode/0it08ApGKJXLEcMk6NAeCP?si=fqL_upZASkePVvgToracSw,Postado,5/1/2026
content-calendar--8,8,[ENTREVISTA] SAF não é solução mágica. Gestão vem antes do modelo.,Artigo completo sobre a entrevista e SAF,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/saf-n%C3%A3o-%C3%A9-solu%C3%A7%C3%A3o-m%C3%A1gica-gest%C3%A3o-vem-antes-do-modelo-10f97d6af2ce,Postado,5/1/2026
content-calendar--9,9,[NEGÓCIOS] Os Primeiros 90 Dias na Gestão de Negócios do Clube,Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://spotifycreators-web.app.link/e/mamKxTZEUYb,Postado,17/11/2025
content-calendar--10,10,[OUTRO] Quem é a BrAIn Sports?,Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://spotifycreators-web.app.link/e/FlWntWZEUYb,Postado,27/11/2025
content-calendar--11,11,[GESTÃO] Fair Play Financeiro: o que muda no futebol brasileiro?,Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://spotifycreators-web.app.link/e/RMZHCUZEUYb,Postado,27/11/2025
content-calendar--12,12,"""[NEGÓCIOS] Naming Rights não salvam clubes. Mas sem eles, muitos ficam para trás.""",Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://open.spotify.com/episode/5Uua6LxvUg4DO2CdTel36U?si=SBLlUsIiQP6ODt3J4aZ5fw,Postado,29/12/2025
content-calendar--13,13,[TECNOLOGIA] IA Humanizando Cada Passo do Torcedor,Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://spotifycreators-web.app.link/e/5saRuRZEUYb,Postado,8/12/2025
content-calendar--14,14,[NEGÓCIOS] Sócio Gratuito Funciona? A Estratégia Freemium no Futebol,Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://open.spotify.com/episode/5ItL143bYzYGG4N3acPnUh?si=0MFi1q2eSrWtNgRn26JCZw,Postado,22/12/2025
content-calendar--15,15,[GESTÃO] Por que um clube de futebol deveria ter um PMO,Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://spotifycreators-web.app.link/e/hrVStSZEUYb,Postado,30/11/2025
content-calendar--16,16,[GESTÃO] Por Que Tantos Clubes Não Conseguem Tirar o Planejamento Estratégico do Papel?,Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://open.spotify.com/episode/0cWXNsXbCD4JP1U2SRW5ww?si=tQaLl1JnSbKO2MIDwdMx_g,Postado,3/11/2025
content-calendar--17,17,[NEGÓCIOS] Depois do Boom das Bets: Qual Será a Próxima Grande Fonte de Receita do Futebol?,Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://open.spotify.com/episode/0hxvZ6LNIynFPItl4cXIwL?si=wVKAuccrSvGZBBlAY8VuMA,Postado,27/10/2025
content-calendar--18,18,[NEGÓCIOS] A Imagem do Atleta Como Ativo Estratégico: Reflexões a Partir da Fórmula 1,Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://spotifycreators-web.app.link/e/hmeg6GJx9Yb,Postado,24/7/2025
content-calendar--19,19,"""[TECNOLOGIA] A Web Não Está Morta, Mas Está Mudando: Como a IA Está Redefinindo Tudo""",Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://spotifycreators-web.app.link/e/kidb6DDx9Yb,Postado,6/5/2025
content-calendar--20,20,[TECNOLOGIA] O quanto sua organização esportiva está atrasada? A tecnologia já mostra.,Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://open.spotify.com/episode/3JHxlAX1xwtNwMedlYhdBv?si=uqk6v26PTp2t0xdM7-rffQ,Postado,29/4/2025
content-calendar--24,24,[FUTEBOL] Brasil Sediará a Copa do Mundo de Futebol Feminino 2027: Um Olhar na Evolução do Futebol Feminino no País,Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://open.spotify.com/episode/4QPA2iQpUYkqtovkahoheg?si=6FKEan_hSK6suIsMhgET5A,Postado,23/5/2024
content-calendar--25,25,[TECNOLOGIA] A Revolução Esportiva que Já Começou: Como a IA Está Mudando Tudo,Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://open.spotify.com/episode/4h3UHFxH84k0Fbx5cDQS4N?si=vbXqJ1qnRD2v6M6AaUABBw,Postado,15/12/2025
content-calendar--28,28,"""[NEGÓCIOS] Se fosse uma empresa, seu clube sobreviveria sem uma área comercial forte?""",Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://open.spotify.com/episode/70zlTT062Tgs3UOTrHnhIq?si=cuHtXpzXQAaDop8gniJrHg,Postado,20/10/2025
content-calendar--29,29,[NEGÓCIOS] O que o Ajax pode ensinar aos clubes brasileiros sobre sustentabilidade financeira,Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://open.spotify.com/episode/5VfwaWuEaSdX5XtSQy4x0X?si=snElcmbjQk24gbWBlHcaaw,Postado,24/10/2025
content-calendar--30,30,[TECNOLOGIA] Se você acha que a CazéTV revolucionou a transmissão esportiva… espere só até a tecnologia entrar de vez em campo.,Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://open.spotify.com/episode/7tjmIRsinnYXRJdksjVkAL?si=fOddjXlaSAKD3_tSK8DprQ,Postado,3/11/2025
content-calendar--31,31,"""[TECNOLOGIA] A próxima revolução esportiva não virá do campo, virá dos algoritmos""",Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://spotifycreators-web.app.link/e/tUX6T47A9Yb,Postado,27/10/2025
content-calendar--32,32,[ANÁLISE] Batalha dos Sexos: debate por equidade ou espetáculo que reforça hierarquias?,Podcast sobre o artigo,Podcast,Spotify,Brain Sports,Spotify Brain Sports (Podcast),https://open.spotify.com/episode/4sKXoFoZSmcnc3WjbpxmLF?si=0iYVoADORziAFYrQgnhRMg,Postado,30/12/2025
content-calendar--33,33,[NEGÓCIOS] Os Primeiros 90 Dias na Gestão de Negócios do Clube,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/os-primeiros-90-dias-ao-assumir-o-departamento-de-negócios-de-um-clube-de-futebol-d1b2a31ecd31,Postado,17/11/2025
content-calendar--34,34,[GESTÃO] Fair Play Financeiro: o que muda no futebol brasileiro?,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/fair-play-financeiro-o-que-muda-no-futebol-brasileiro-04a02637cdc7,Postado,27/11/2025
content-calendar--35,35,"""[NEGÓCIOS] Naming Rights não salvam clubes. Mas sem eles, muitos ficam para trás.""",Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/naming-rights-n%C3%A3o-salvam-clubes-mas-sem-eles-muitos-ficam-para-tr%C3%A1s-48d34feacce9,Postado,29/12/2025
content-calendar--36,36,[TECNOLOGIA] IA Humanizando Cada Passo do Torcedor,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/a-evolução-da-inteligência-artificial-no-relacionamento-com-o-torcedor-o-futuro-da-experiência-no-a84ac5caef54,Postado,8/12/2025
content-calendar--37,37,[NEGÓCIOS] Sócio Gratuito Funciona? A Estratégia Freemium no Futebol,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/s%C3%B3cio-gratuito-funciona-a-estrat%C3%A9gia-freemium-no-futebol-463b3631f538,Postado,22/12/2025
content-calendar--38,38,[GESTÃO] Por que um clube de futebol deveria ter um PMO,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/por-que-um-clube-de-futebol-precisa-de-um-pmo-e-por-que-isso-não-é-luxo-f1ecf7ec5698,Postado,30/11/2025
content-calendar--39,39,[GESTÃO] Por Que Tantos Clubes Não Conseguem Tirar o Planejamento Estratégico do Papel?,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/por-que-tantos-clubes-n%C3%A3o-conseguem-tirar-o-planejamento-estrat%C3%A9gico-do-papel-1ce72d239cdb,Postado,3/11/2025
content-calendar--40,40,[NEGÓCIOS] Depois do Boom das Bets: Qual Será a Próxima Grande Fonte de Receita do Futebol?,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/71d8e5c996d5,Postado,27/10/2025
content-calendar--41,41,[NEGÓCIOS] A Imagem do Atleta Como Ativo Estratégico: Reflexões a Partir da Fórmula 1,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/a-imagem-do-atleta-como-ativo-estratégico-reflexões-a-partir-da-fórmula-1-219b5f989a9c,Postado,24/7/2025
content-calendar--42,42,"""[TECNOLOGIA] A Web Não Está Morta, Mas Está Mudando: Como a IA Está Redefinindo Tudo""",Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/a-web-não-está-morta-mas-está-mudando-como-a-ia-está-redefinindo-tudo-2f71a0aefe40,Postado,6/5/2025
content-calendar--43,43,[TECNOLOGIA] O quanto sua organização esportiva está atrasada? A tecnologia já mostra.,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/o-quanto-sua-organiza%C3%A7%C3%A3o-esportiva-est%C3%A1-atrasada-a-tecnologia-j%C3%A1-mostra-7cea1334e7b7,Postado,29/4/2025
content-calendar--44,44,[OUTRO] De São Gonçalo ao Real Madrid: O Segredo do Sucesso de Vinicius Junior Que Você Precisa Conhecer!,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/de-s%C3%A3o-gon%C3%A7alo-ao-real-madrid-o-segredo-do-sucesso-de-vinicius-junior-que-voc%C3%AA-precisa-conhecer-5f91fe4841a2,Postado,18/6/2024
content-calendar--45,45,[TECNOLOGIA] Apresentando o GPT-4o: Um Avanço na IA com Demonstrações de Reconhecimento de Imagens em Esportes,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/apresentando-o-gpt-4o-um-avan%C3%A7o-na-ia-com-demonstra%C3%A7%C3%B5es-de-reconhecimento-de-imagens-em-esportes-1c17c96002bc,Postado,23/5/2024
content-calendar--46,46,[FUTEBOL] Como a Inteligência Artificial pode Revolucionar a Gestão de Talentos no Futebol de Base,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/como-a-intelig%C3%AAncia-artificial-pode-revolucionar-a-gest%C3%A3o-de-talentos-no-futebol-de-base-c548714a8013,Postado,15/5/2024
content-calendar--47,47,[FUTEBOL] Brasil Sediará a Copa do Mundo de Futebol Feminino 2027: Um Olhar na Evolução do Futebol Feminino no País,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/brasil-sediar%C3%A1-a-copa-do-mundo-de-futebol-feminino-2027-um-olhar-na-evolu%C3%A7%C3%A3o-do-futebol-feminino-b8685018c507,Postado,23/5/2024
content-calendar--48,48,[TECNOLOGIA] A Revolução Esportiva que Já Começou: Como a IA Está Mudando Tudo,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/a-revolu%C3%A7%C3%A3o-esportiva-que-todos-est%C3%A3o-falando-ia-em-a%C3%A7%C3%A3o-15dd75a56d9f,Postado,15/12/2025
content-calendar--49,49,"""[NEGÓCIOS] Se fosse uma empresa, seu clube sobreviveria sem uma área comercial forte?""",Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/se-fosse-uma-empresa-seu-clube-sobreviveria-sem-uma-%C3%A1rea-comercial-forte-9a319bc3f310,Postado,20/10/2025
content-calendar--50,50,[NEGÓCIOS] O que o Ajax pode ensinar aos clubes brasileiros sobre sustentabilidade financeira,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/o-que-o-ajax-pode-ensinar-aos-clubes-brasileiros-sobre-sustentabilidade-financeira-08bf6980b147,Postado,24/10/2025
content-calendar--51,51,[TECNOLOGIA] Se você acha que a CazéTV revolucionou a transmissão esportiva… espere só até a tecnologia entrar de vez em campo.,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/se-voc%C3%AA-acha-que-a-caz%C3%A9tv-revolucionou-a-transmiss%C3%A3o-esportiva-espere-s%C3%B3-at%C3%A9-a-tecnologia-entrar-d152a5cdb451,Postado,3/11/2025
content-calendar--52,52,"""[TECNOLOGIA] A próxima revolução esportiva não virá do campo, virá dos algoritmos""",Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/a-pr%C3%B3xima-revolu%C3%A7%C3%A3o-esportiva-n%C3%A3o-vir%C3%A1-do-campo-vir%C3%A1-dos-algoritmos-f440292d14c0,Postado,27/10/2025
content-calendar--53,53,[ANÁLISE] Batalha dos Sexos: debate por equidade ou espetáculo que reforça hierarquias?,Artigo,Artigo,Medium,Lucas Oaigen,Medium Lucas Oaigen (Artigo),https://medium.com/@lucasleusin/batalha-dos-sexos-debate-por-equidade-ou-espet%C3%A1culo-que-refor%C3%A7a-hierarquias-8e173378212a,Postado,30/12/2025
content-calendar--54,54,[NEGÓCIOS] Os Primeiros 90 Dias na Gestão de Negócios do Clube,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_os-primeiros-90-dias-ao-assumir-o-departamento-activity-7396341162262831104-lvMT?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,17/11/2025
content-calendar--55,55,[GESTÃO] Fair Play Financeiro: o que muda no futebol brasileiro?,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_o-fair-play-financeiro-da-cbf-est%C3%A1-chegando-activity-7400175537668759553-F50K?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,27/11/2025
content-calendar--56,56,"""[NEGÓCIOS] Naming Rights não salvam clubes. Mas sem eles, muitos ficam para trás.""",Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_naming-rights-n%C3%A3o-salvam-clubes-mas-sem-activity-7411375510762668033-NIuR?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,29/12/2025
content-calendar--57,57,[TECNOLOGIA] IA Humanizando Cada Passo do Torcedor,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_a-evolu%C3%A7%C3%A3o-da-ia-no-relacionamento-com-activity-7403765381141659648-8HrZ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,8/12/2025
content-calendar--58,58,[NEGÓCIOS] Sócio Gratuito Funciona? A Estratégia Freemium no Futebol,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_s%C3%B3cio-gratuito-funciona-a-estrat%C3%A9gia-freemium-activity-7408838743916429312-uhoK?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,22/12/2025
content-calendar--59,59,[GESTÃO] Por que um clube de futebol deveria ter um PMO,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_por-que-um-clube-de-futebol-deveria-ter-um-activity-7401258863456358400-L17e?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,30/11/2025
content-calendar--60,60,[GESTÃO] Por Que Tantos Clubes Não Conseguem Tirar o Planejamento Estratégico do Papel?,Divulgação do Artigo no LinkedIn,Post,LinkedIn,Lucas Oaigen,LinkedIn Lucas Oaigen (Post),https://www.linkedin.com/posts/lucas-oaigen_mapa-de-performance-estrat%C3%A9gica-lucas-oaigen-activity-7391614017401749504-ibgL?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIzx0UBphsTkJbkg4LsApngWkOema-KSk8,Postado,3/11/2025
